NOM;ADRESSE;ASSOCIATION;NBRE_PARCELLES;SURFACE_TOTALE;Y_LAT;X_LONG;ID
LA ROCHE;CHEMIN DE LA ROCHE;Asso  Les jardins de la Roche;17;4013.0;47,2194390174894;-1,52344149022095;1
CRESSONNIERE;RUE DES RENARDS;Asso  Les jardins de la Cressonnière;10;1176.76;47,2565927290361;-1,56309409770614;2
LAIT DE MAI;RUE EMILE PEHANT;Asso. Des petits jardins du Lait de Mai;1;182.76;47,2121267611117;-1,5481177365621;3
SUZANNE LENGLEN;RUE SUZANNE LENGLEN;Confédération Syndicale des Familles;1;532.4;47,2290656488421;-1,58786484344719;4
BREIL/COUBERTIN;BD PIERRE DE COUBERTIN;Asso.Jardins Familiaux Nantais;14;1743.14;47,2281754211676;-1,58576356458799;5
COLLINES;CHEMIN DES COLLINES;Asso les Jardins des Collines;31;7683.06;47,2420588343492;-1,51645836884369;6
CROISSANT;RUE DU CROISSANT;Asso. Jardins de la Marrière ;90;15808.73;47,2351474602204;-1,52309170665746;7
CRAPAUDINE;AVENUE DES GOBELETS;Asso.la crapaudine;92;23222.69;47,1911183070505;-1,52996452304157;8
LE JARDINET;RUE D'HENDAYE;ECOS;1;98.4;47,1957882470328;-1,52862142777457;9
HALVEQUE/BEAUJOIRE;RUE LEON SERPOLLET;Asso.Jardins Familiaux Nantais;12;713.68;47,2556186549767;-1,52052713916583;10
Le GARDEN'KOFF;SQUARE DE HONGRIE;Les Idéelles;1;83.76;47,2160658560964;-1,52439613841858;11
LES ESCARTONS;RUE GABRIEL GOUDY;Les Escartons;1;805.92;47,1946771332856;-1,54264748322921;12
PAPOTAGER (Square G. CHEREAU);RUE DE L'HERRONNIERE;PAPOTAGER;1;858.74;47,2109178835222;-1,56292365129831;13
AL LIORZH VOUTIN;3 RUE HARROUYS;KENTELOU AN NOZ;1;66.71;47,2174186557603;-1,56585543942584;14
BOIS DES ANSES;CHEMIN DES ANSES;Asso.Jardins Familiaux Nantais;36;9239.9;47,2457364697555;-1,49076498693019;15
LES OBLATES;RUE DE LA BRIANDERIE;Les potagers des Oblates;14;1656.88;47,2007077764372;-1,58598583645468;16
LES BRUYERES;RUE DE PONT AVEN;Asso  Les jardins des bruyeres;30;11305.78;47,2674981253864;-1,57651900533873;17
LE 16 WATT;RUE PETITE BIESSE;INTERFERENCES -16 watts;1;125.99;47,2036054083011;-1,54824126685915;18
PRAIRIE D'AMONT;ALLEE ALAIN GERBAULT;CA POUSSE EN AMONT;1;168.78;47,2097304589474;-1,52537316012955;19
JAMET;RUE DU JAMET;Senteurs Gourmandes du Jamet;9;642.08;47,2072259347066;-1,60610832852431;20
 MOUTONNERIE;RUE FRANSCISCO FERRER;Asso.Jardins Familiaux Nantais;23;3829.54;47,2218544645677;-1,53292618840642;21
JARDIN PARTAGE LA HALUCHERE LE PERRAY;1 RUE JULES GRANDJOUAN;CSC La Haluchère;1;75.91;47,2470833841652;-1,51248950668165;22
JARDIN D'USAGE DERVALLIERES;RUE LOUIS LE NAIN;;1;2029.65;47,2264348486334;-1,59932090627181;23
CARCOUET;;;0;492.78;47,2280953065597;-1,59402433638019;24
FOURNILIERE;RUE JULES PIEDELEU;Asso. Jardins de la Fournilière;120;31604.69;47,212537479885;-1,58895939752634;25
CONTRIE;RUE DU CORPS DE GARDE;Asso.Jardins Familiaux Nantais;78;17043.26;47,2189973138641;-1,60087770314206;26
BOUCARDIERE;RUE DE L'ABBAYE;Asso.Jardins Familiaux Nantais;10;2030.87;47,2021953533342;-1,59877123488103;27
ANGLE CHAILLOU;CHEMIN ANGLE CHAILLOU;Asso. Nature & Jardins Nantes Nord ;58;14469.12;47,2717876097935;-1,57164946642059;28
EPINETTES;RUE DES EPINETTES;Asso. Mille et un jardins;13;1677.66;47,228702444088;-1,52084080364442;29
CHEZINE;BD DU MASSACRE;Asso.Jardins Familiaux Nantais;21;3217.96;47,2293984322158;-1,59654089683538;30
EGLANTIERS;RTE DE LA CHAPELLE SUR ERDRE;Asso. Les Jardins des Eglantiers;92;22967.0;47,2664476306773;-1,57356790329742;31
 BATIGNOLLES;BD DES BATIGNOLLES;Asso.Jardins Familiaux Nantais;41;7283.64;47,2540385280162;-1,52402318387499;32
TERRE PROMISE;CHEMIN DES BATELIERS;Asso . Loire & Jardins;86;14600.15;47,2205751821284;-1,50911365979517;33
BOIS DE LA MUSSE;RUE DU BOIS DE LA MUSSE;Asso.Jardins Familiaux Nantais;67;12293.24;47,2037889595427;-1,61293860413442;34
VERTAIS;RUE VERTAIS;Asso.Jardins du Vertais;10;1117.92;47,2020816053686;-1,54694666084343;35
CHAUPIERES;CHEMIN DES CHAUPIERES;Asso.Jardins Familiaux Nantais;86;16037.68;47,2446375693427;-1,49939897422361;36
AMANDE;BD RENE CASSIN;Asso Les Jardins de l'Amande;21;4754.45;47,2626386020172;-1,57701678864409;37
PORT BOYER;RUE DU PORT BOYER;Asso.Jardins Familiaux Nantais;1;211.8;47,2420259121648;-1,53884312855537;38
